title,houseType,state,position,tags,unitPrice,totalPrice
远洋新天地,商业,在售,门头沟/门头沟其它/长安街西延线与滨河路南延交汇处（东南侧）,品牌房企 环线房 近主干道 现房,70000  元/平(均价),
天恒水岸壹号,住宅,在售,房山/良乡/良乡大学城西站地铁南侧400米，刺猬河旁,七天无忧退房 视频看房 水系园林 公交直达,600  万/套(总价),总价500万/套
鸿坤跃界,写字楼,在售,大兴/西红门/宏福路与欣荣南北大街交汇西南侧,地铁沿线 公交直达 现房 成熟商圈,45000  元/平(均价),
鸿坤新都荟,底商,在售,大兴/西红门/西红门欣荣北街与鸿宏福路交汇东北角,贴心物业 人车分流 成熟商圈,55000  元/平(均价),
融汇国际大厦,写字楼,在售,海淀/西直门/西北二环外高粱桥斜街北侧，慈献寺街西侧,地铁沿线 公交直达 现房,85000  元/平(均价),
紫辰院,住宅,在售,丰台/岳各庄/岳各庄北桥东北角200米处,水系园林 地铁沿线 公交直达 现房,120000  元/平(均价),总价3192万/套
天恒摩墅,别墅,在售,房山/房山其它/周口店镇政府东200米,七天无忧退房 自持商业 环线房 临近高速,370  万/套(总价),总价350万/套
格拉斯小镇,别墅,在售,"通州/通州其它/宋庄镇葛渠村南, 榆滨华苑二区",复式 环线房 近主干道 现房,6300  万/套(总价),总价6300万/套
长安壹号,别墅,在售,门头沟/冯村/永定镇冯西园长安一号,品牌房企 私属庭院 环线房 近主干道,110000  元/平(均价),总价16280万/套
北京红廷别墅,别墅,在售,朝阳/朝阳其它/东北五环南影路，中国电影博物馆东北角,公交直达 环线房 现房 低密居所,2950  万/套(总价),总价7000万/套
兴创荣墅,别墅,在售,大兴/大兴其它/采育镇育胜街与福源路交叉口西侧350米路南,品牌房企 贴心物业 环线房 大型社区,1100  万/套(总价),总价850万/套
景粼原著,别墅,在售,朝阳/中央别墅区/京密路与顺黄路交叉路口往西200米,品牌房企 私属庭院 地铁沿线 环线房,4000  万/套(总价),总价4000万/套
温哥华森林,别墅,在售,"昌平/北七家/北五环外紧邻立汤路，北七家建材城向北第一个路口200米路东, 枫树家园6区, 枫树家园五区",温泉入户 自持商业 公交直达 环线房,2500  万/套(总价),总价2400万/套
首创禧瑞山,别墅,在售,顺义/马坡/牛栏山镇昌金路与右堤路交界处,环线房 现房 小型社区 购物方便,830  万/套(总价),总价680万/套
首开缇香郡,别墅,在售,通州/通州其它/京津高速过台湖收费站第一个出口即到,低总价 品牌房企 复式 环线房,29800  元/平(均价),总价440万/套
观山源墅,住宅,在售,房山/良乡/阳光北大街与多宝路交汇处西南（理工大学北校区西侧）,贴心物业 自持商业 环线房 近主干道,47500  元/平(均价),总价420万/套
中铁花溪渡,住宅,在售,"顺义/马坡/新城白马路与通顺路交汇处向北1公里路西, 顺兴街9号院",品牌房企 水系园林 公交直达 环线房,43000  元/平(均价),总价800万/套
北辰墅院1900,住宅,在售,顺义/马坡/顺义区顺兴街11号院望尊园,明星户型 旅游地产 公交直达 环线房,43000  元/平(均价),总价508万/套
利锦府府上,住宅,在售,"朝阳/东坝/东五环七棵树出口沿东坝中街向东1500米, 红松园北里18号院",公交直达 环线房 现房 车位充足,60000  元/平(均价),总价1700万/套
金科天玺,别墅,在售,"昌平/小汤山/顺沙路68号, 沙顺路68号院二区, 沙顺路68号院一区",品牌房企 复式 环线房 现房,1800  万/套(总价),总价1800万/套
中骏西山天璟,住宅,在售,门头沟/城子/西山永定楼北300米,品牌房企 健身跑道 环线房 大型社区,65000  元/平(均价),总价700万/套
泰禾昌平拾景园,别墅,在售,昌平/南邵/地铁昌平线南邵站西100米,品牌房企 中式建筑 地铁沿线 公交直达,1100  万/套(总价),总价1200万/套
国瑞熙墅,别墅,在售,昌平/北七家/北七家镇定泗路与七北路交叉口东行200米,复式 水系园林 环线房 现房,1400  万/套(总价),总价1500万/套
兴创国际中心,写字楼,在售,大兴/西红门/西红门镇欣宁街与宏康路交叉口向西500米,贴心物业 环线房 现房 成熟商圈,39000  元/平(均价),
富力运河十号,写字楼,在售,通州/武夷花园/赵登禹大街182号,品牌房企 地铁沿线 公交直达 现房,55000  元/平(均价),
富力运河十号,商业,在售,通州/武夷花园/赵登禹大街182号,地铁沿线 公交直达 现房 购物方便,50000  元/平(均价),
恒大国际广场,商业,在售,房山/良乡/地铁良乡大学城西800米，良乡拱辰街道,品牌房企 贴心物业 环线房 临近高速,33000  元/平(均价),
恒大城汇金街,商业,在售,"昌平/沙河/沙河高教园北四街, 高教园北四街6号院",品牌房企 贴心物业 地铁沿线 环线房,320  万/套(总价),
首创悦都汇,商业,在售,大兴/大兴其它/南六环孙村出口南行1200米（南中轴路西侧）,低单价 品牌房企 环线房 现房,25000  元/平(均价),
领秀翡翠墅,住宅,在售,"丰台/丰台其它/王佐镇长青路南侧, 长青路88号院",水系园林 环线房 现房 低密居所,45000  元/平(均价),总价668万/套
龙湖西宸广场,商业,在售,丰台/玉泉营/芳菲路与首经贸北路交叉口,地铁沿线 环线房 现房 成熟商圈,50000  元/平(均价),
V7荷塘月色,别墅,在售,房山/房山其它/长沟湿地公园南700米,水系园林 入户花园 环线房 现房,28000  元/平(均价),总价409万/套
融汇国际大厦,商业,在售,海淀/西直门/西北二环外高粱桥斜街北侧，慈献寺街西侧,地铁沿线 多轨交汇 现房,120000  元/平(均价),
西山御园,住宅,在售,门头沟/城子/阜石路双峪环岛北1000米,环线房 现房 娱乐丰富 运动健身,59000  元/平(均价),总价1200万/套
华润西山墅,住宅,在售,门头沟/冯村/冯石环路7号院,品牌房企 水系园林 环线房 近主干道,760  万/套(总价),总价780万/套
北京怡园,住宅,在售,昌平/东关/水库路与昌崔路交汇处向北1公里路东,地铁沿线 环线房 现房 车位充足,46000  元/平(均价),总价430万/套
龙熙瓦德拉玛庄园,写字楼,在售,大兴/天宫院南/庞各庄镇顺景路8号,贴心物业 私属庭院 公交直达 环线房,35000  元/平(均价),
丽景长安,住宅,在售,门头沟/冯村/永定镇石龙西路与三石路交叉口向西200米南侧,水系园林 环线房 近主干道 现房,52000  元/平(均价),总价780万/套
东亚尚品台湖,商业类,在售,"通州/通州其它/台湖镇铺外路（北京图书城北侧）, 胡家垈村甲8号院",低单价 环线房 现房 购物方便,28000  元/平(均价),
首开万科城市之光,商业,在售,"通州/通州其它/东五环化工桥向东京津高速第一出口，通马路向南500米路东, 东石东五路2号院",品牌房企 地铁沿线 环线房 现房,60000  元/平(均价),
中冶德贤公馆,住宅,在售,大兴/旧宫/德贤东路6号院（南四环榴乡桥东南角800米）,视频看房 贴心物业 人车分流 成熟商圈,1430  万/套(总价),总价1250万/套
燕西华府,别墅,在售,"丰台/丰台其它/王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）",私属庭院 公交直达 环线房 现房,52000  元/平(均价),总价2200万/套
天恒京西悦府,住宅,在售,房山/阎村/燕房线阎村地铁站东南角约189米,视频看房 自持商业 地铁沿线 环线房,38000  元/平(均价),总价370万/套
合生滨江帝景,住宅,在售,通州/玉桥/运河西大街，果园环岛向东两公里,环线房 现房 大型社区 购物方便,75000  元/平(均价),总价765万/套
首创伊林郡,住宅,在售,房山/良乡/京港澳高速22B良乡机场出口即到，行宫西街1号院,品牌房企 自持商业 环线房 现房,40000  元/平(均价),总价560万/套
尚峯壹號,写字楼,在售,"顺义/顺义其它/中央别墅北区京承高速11号出口, 天承环路8号院",品牌房企 水系园林 环线房 临近高速,36000  元/平(均价),
林肯公园二期B区,商业,在售,亦庄开发区/亦庄/文化园西路8号院,品牌房企 贴心物业 地铁沿线 公交直达,40000  元/平(均价),
合景中心,住宅,在售,通州/武夷花园/滨河中路和新华大街交汇处西南角，往南200米,商务型公寓 小户型 品牌房企 地铁沿线,65000  元/平(均价),总价480万/套
中粮天恒天悦壹号,住宅,在售,丰台/西红门/南四环地铁新宫站南500米,科技住宅 贴心物业 地铁沿线 多轨交汇,82000  元/平(均价),总价1030万/套
万科大都会滨江N2,住宅,在售,通州/北关/京通快速北关桥东北角,商务型公寓 品牌房企 一梯一户 地铁沿线,65000  元/平(均价),总价929万/套
香悦四季,住宅,在售,顺义/马坡/北京市顺义区顺恒大街合景香悦四季西二区,刚需优选 避暑 公交直达 环线房,562  万/套(总价),总价690万/套
FCC中央城,商业,在售,房山/长阳/长阳地铁站北侧50米,品牌房企 贴心物业 地铁沿线 公交直达,48000  元/平(均价),
K2十里春风,住宅,在售,通州/通州其它/永乐店镇漷小路（永开路）与恒业二街交汇处,刚需优选 低单价 小户型 公交直达,28400  元/平(均价),总价199万/套
K2十里春风,别墅,在售,通州/通州其它/永乐店镇漷小路（永开路）与恒业二街交汇处,低总价 公交直达 环线房 车位充足,520  万/套(总价),总价520万/套
奥园北京源墅,别墅,在售,密云/密云其它/北京市密云区溪翁庄镇,贴心物业 环线房 近主干道 人车分流,370  万/套(总价),总价370万/套
北京城建·龙樾西山,住宅,在售,门头沟/冯村/长安街西延线南约300米,视频看房 品牌房企 地铁沿线 公交直达,55000  元/平(均价),总价630万/套
华远和墅,商业,在售,大兴/大兴其它/南六环磁各庄桥沿南中轴向南2公里,贴心物业 入户花园 环线房 现房,1350  万/套(总价),
房山超级蜂巢,商业,在售,房山/良乡/苏庄地铁站往南700米超级蜂巢售楼处,地铁沿线 环线房 现房 配套齐全,25000  元/平(均价),
房山超级蜂巢,写字楼,在售,房山/良乡/苏庄地铁站往南700米超级蜂巢售楼处,地铁沿线 环线房 现房 配套齐全,24000  元/平(均价),
玺萌壹號院,别墅,在售,丰台/草桥/西南三环嘉园路与镇国寺北街交叉口,地铁沿线 公交直达 车位充足 绿化率高,99500  元/平(均价),总价4500万/套
首开住总熙悦安郡,住宅,在售,朝阳/成寿寺/南三环外成寿寺路西晨曦幼儿园对面,品牌房企 环线房 近主干道 即将交房,79500  元/平(均价),总价875万/套
首创悦都汇,写字楼,在售,大兴/大兴其它/南六环孙村出口南行1200米（南中轴路西侧）,品牌房企 贴心物业 环线房 近主干道,26000  元/平(均价),
远洋长安国际中心,写字楼,在售,门头沟/门头沟其它/长安街西延线与滨河路南延交汇处（东南侧）,品牌房企 环线房 近主干道 车位充足,33000  元/平(均价),
融创千章墅,别墅,在售,通州/通州其它/寨辛庄前街2号院,品牌房企 公交直达 环线房 现房,1800  万/套(总价),总价1800万/套
TBD住总万科天地,写字楼,在售,昌平/回龙观/朱辛庄地铁站东侧50米。,品牌房企 地铁沿线 公交直达 现房,160  万/套(总价),
长海御墅,别墅,在售,房山/房山其它/长沟国家湿地公园南侧,低单价 贴心物业 水系园林 环线房,19000  元/平(均价),总价645万/套
北京书院,住宅,在售,朝阳/惠新西街/北三环以北，惠新东街与北土城东路交汇处西行200米路北,小户型 环线房 小型社区,112000  元/平(均价),
北京金茂府,住宅,在售,丰台/宋家庄/丰台区宋家庄地铁站南200米,品牌房企 公交直达 环线房 现房,105000  元/平(均价),
丰台金茂广场,写字楼,在售,丰台/科技园区/西南四环总部基地核心区丰台万达广场东侧400米,近主干道 成熟商圈,63000  元/平(均价),
台湖银河湾,住宅,在售,通州/通州其它/东五环化工桥京津高速2A出口南行1000米（环勃海总部基地）,品牌房企 环线房 现房 低密居所,1100  万/套(总价),总价1100万/套
一品嘉园,住宅,在售,"大兴/天宫院南/魏北路28号院, 魏西路1号院",环线房 现房 低密居所 购物方便,38000  元/平(均价),总价370万/套
棠颂别墅璟庐,别墅,在售,亦庄开发区/亦庄开发区其它/鹿华路7号院（南海子公园北侧500米）,品牌房企 复式 环线房 开发区,1900  万/套(总价),总价1900万/套
万科弗农小镇,住宅,在售,密云/密云其它/密云水库南岸两公里,品牌房企 环线房 低密居所 绿化率高,325  万/套(总价),总价325万/套
金隅上城郡,别墅,在售,昌平/北七家/北亚花园东路50米,入户花园 环线房 现房 绿化率高,800  万/套(总价),总价1300万/套
万科弗农小镇,别墅,在售,密云/密云其它/密关路西侧（密云水库南岸2公里）,品牌房企 旅游地产 环线房 临近高速,550  万/套(总价),总价550万/套
首开保利欢乐大都汇,写字楼,在售,门头沟/冯村/石门营环岛北50米,品牌房企 地铁沿线 公交直达 现房,30000  元/平(均价),
首开保利欢乐大都汇,商业,在售,门头沟/冯村/石门营环岛北50米,品牌房企 地铁沿线 公交直达 现房,65000  元/平(均价),
东亚尚品台湖,写字楼,在售,"通州/通州其它/台湖镇铺外路（北京图书城北侧）, 胡家垈村甲8号院",低总价 环线房 现房 购物方便,30000  元/平(均价),
中铁华侨城和园,住宅,在售,大兴/瀛海/南五环南海子公园西侧约500米,视频看房 品牌房企 地铁沿线 环线房,55000  元/平(均价),总价810万/套
保利佲悦大都汇,写字楼,在售,丰台/科技园区/汽车博物馆东路与五圈路交叉口东南200米路东,贴心物业 地铁沿线 公交直达 现房,63000  元/平(均价),
保利佲悦大都汇,商业,在售,丰台/科技园区/汽车博物馆东路与五圈路交叉口东南200米路东,贴心物业 自持商业 地铁沿线 公交直达,63000  元/平(均价),
中海北京世家,别墅,在售,大兴/亦庄开发区其它/三海子东路与公园北环路交叉口(南海子公园北侧),品牌房企 贴心物业 公交直达 环线房,1800  万/套(总价),总价1800万/套
中海北京世家,住宅,在售,大兴/亦庄开发区其它/三海子东路与公园北环路交叉口(南海子公园北侧),品牌房企 贴心物业 公交直达 环线房,58000  元/平(均价),总价2200万/套
东方蓝海中心,住宅,在售,昌平/北七家/未来科技城南区内科技城路与南区一路交界处,公交直达 环线房 现房 人车分流,55000  元/平(均价),总价590万/套
顺鑫颐和天璟,住宅,在售,顺义/顺义其它/新城右堤路与昌金路交汇处向北200米,中式建筑 环线房 现房 低密居所,405  万/套(总价),总价408万/套
顺鑫颐和天璟,别墅,在售,顺义/顺义其它/新城右堤路与昌金路交汇处向北200米,私属庭院 中式建筑 公交直达 环线房,870  万/套(总价),总价875万/套
誉天下盛寓,住宅,在售,顺义/中央别墅区/顺义中央别墅区榆阳路与林荫路交叉口,环线房 低密居所 即将交房 购物方便,65000  元/平(均价),
泰禾金尊府,住宅,在售,朝阳/四惠/东四环中路58号,地铁沿线 环线房 现房 低密居所,110000  元/平(均价),
未来公元,住宅,在售,昌平/北七家/京承高速北七家出口800米路南,科技住宅 公交直达 环线房 大型社区,60800  元/平(均价),总价635万/套
住总香榭8号,住宅,在售,朝阳/大望路/西大望路24号,明星户型 品牌房企 环线房 现房,1450  万/套(总价),总价1450万/套
华润未来城市,住宅,在售,昌平/小汤山/未来科学城-滨河大道,品牌房企 科技住宅 多轨交汇 环线房,61000  元/平(均价),总价945万/套
FCC中央城,写字楼,在售,房山/长阳/长阳地铁站北侧50米,品牌房企 贴心物业 地铁沿线 公交直达,30000  元/平(均价),
金科天宸荟,商业,在售,大兴/天宫院/地铁生物医药基地站向南200米,品牌房企 贴心物业 地铁沿线 公交直达,55000  元/平(均价),
金科天宸荟,写字楼,在售,大兴/天宫院/地铁生物医药基地站向南200米,品牌房企 贴心物业 地铁沿线 公交直达,42000  元/平(均价),
通州万国城MOMA,住宅,在售,通州/乔庄/果园环岛以东，运河西大街与玉桥西路交汇处,品牌房企 科技住宅 环线房 大型社区,71000  元/平(均价),总价800万/套
五矿名品,住宅,在售,房山/长阳/长虹东路与阜盛大街交汇处,贴心物业 自持商业 环线房 现房,51000  元/平(均价),总价750万/套
泰禾金府大院,住宅,在售,丰台/西红门/南四环地铁新宫站南800米,明星户型 品牌房企 科技住宅 多轨交汇,1400  万/套(总价),总价1400万/套
领秀翡翠墅,别墅,在售,"丰台/丰台其它/王佐镇长青路南侧, 长青路88号院",私属庭院 环线房 现房 车位充足,1430  万/套(总价),总价1400万/套
奥园北京源墅,住宅,在售,密云/密云其它/密关路与313省道交汇处,环线房 低密居所 小型社区 购物方便,275  万/套(总价),总价275万/套
翡翠公园,别墅,在售,昌平/北七家/北七家京承高速北七家出口向西3公里,品牌房企 公交直达 环线房 大型社区,1000  万/套(总价),总价1300万/套
北京城建北京合院,住宅,在售,顺义/顺义其它/燕京街与通顺路交汇口东800米(仁和公园南),品牌房企 公交直达 环线房 低密居所,47000  元/平(均价),总价600万/套
中国铁建万科翡翠长安,商业,在售,门头沟/门头沟其它/西长安街沿线与六环交汇处西南1.2公里处,品牌房企 多轨交汇 环线房 现房,50000  元/平(均价),
北京金茂府,别墅,在售,丰台/宋家庄/宋家庄地铁站南200米,品牌房企 科技住宅 公交直达 环线房,2500  万/套(总价),总价2100万/套
中骏西山天璟,别墅,在售,门头沟/城子/永定楼北300米,品牌房企 环线房 大型社区 娱乐丰富,63000  元/平(均价),总价928万/套
海上海花园,住宅,在售,丰台/大红门/马家堡东路168号,环线房 现房 大型社区 购物方便,67500  元/平(均价),总价965万/套
珠光御景西园,住宅,在售,丰台/丰台其它/长辛店长云路2号,刚需优选 低单价 公交直达 环线房,40000  元/平(均价),总价480万/套
和光尘樾,住宅,在售,朝阳/东坝/东五环七棵树桥出口向东1.5千米,品牌房企 一梯一户 公交直达 环线房,79800  元/平(均价),总价1730万/套
融尚未来,住宅,在售,昌平/北七家/未来科学城南区鲁瞳西路和南区三街交叉口西行50米,环线房 近主干道 现房 购物方便,1250  万/套(总价),总价800万/套
北京城建北京合院,别墅,在售,顺义/顺义其它/燕京街与通顺路交汇口东800米(仁和公园南),品牌房企 私属庭院 公交直达 环线房,1050  万/套(总价),总价1070万/套
中海寰宇天下,住宅,在售,石景山/古城/阜石路与北辛安路交叉口南200米,品牌房企 地铁沿线 多轨交汇 小型社区,63500  元/平(均价),总价800万/套
和光尘樾,别墅,在售,朝阳/东坝/东五环七棵树桥出口向东1.5千米,品牌房企 公交直达 环线房 车位充足,3800  万/套(总价),总价3800万/套
首开熙悦广场,写字楼,在售,房山/长阳/长阳地铁站B口南向100米，长阳镇怡和北路5号院,品牌房企 地铁沿线 环线房 现房,31000  元/平(均价),
京投发展璟悦府,住宅,在售,平谷/平谷其它/迎宾环岛北行200米,小户型 旅游地产 环线房 绿化率高,32534  元/平(均价),总价261万/套
月亮河七星公馆,住宅,在售,通州/武夷花园/通燕高速耿庄桥出口南200米月亮河 河滨路1号,环线房 现房 低密居所 娱乐丰富,78000  元/平(均价),总价1900万/套
国锐金嵿,住宅,在售,亦庄开发区/亦庄/荣华南路1号院,贴心物业 地铁沿线 公交直达 现房,78000  元/平(均价),总价2200万/套
首开香溪郡,住宅,在售,通州/通州其它/宋庄镇荷香街2号院,品牌房企 水系园林 环线房 现房,45500  元/平(均价),总价410万/套
西山艺境华墅,别墅,在售,门头沟/大峪/阜石路双峪路口西800米路南,品牌房企 复式 公交直达 环线房,42000  元/平(均价),
天润福熙大道,住宅,在售,"朝阳/北苑/清河营东路1号院, 清河营东路3号院",地铁沿线 环线房 现房 车位充足,88000  元/平(均价),总价1700万/套
北京城建世华龙樾,住宅,在售,海淀/清河/京藏高速小营桥东700米，地铁8号线西小口站（西南口）,品牌房企 环线房 现房 小型社区,82600  元/平(均价),
西长安壹号,商业类,在售,门头沟/门头沟其它/门头沟石龙北路与石龙东路交汇向北100米处,低单价 品牌房企 小户型 环线房,33000  元/平(均价),
首创天禧,住宅,在售,朝阳/红庙/东三环京广桥东北角朝阳路139号院,品牌房企 地铁沿线 多轨交汇 现房,180000  元/平(均价),总价6700万/套
元熙华府,住宅,在售,丰台/宋家庄/东南三环东铁营桥向南600米,地铁沿线 环线房 现房 绿化率高,82000  元/平(均价),总价750万/套
国韵村,住宅,在售,大兴/旧宫/德贤东路8号院（榴乡桥南1400米德贤路东侧）,贴心物业 环线房 现房 大型社区,75000  元/平(均价),总价636万/套
九章别墅,别墅,在售,朝阳/中央别墅区/东苇路3号,公交直达 环线房 现房 低密居所,9300  万/套(总价),总价9300万/套
京贸国际公馆,住宅,在售,通州/九棵树(家乐福)/怡乐中路299号院（广渠快速路二期出口向南1000米）,环线房 近主干道 现房 绿化率高,660  万/套(总价),
凯德麓语,别墅,在售,昌平/昌平其它/兴寿镇京承高速G11出口向西怀昌路北侧,复式 环线房 临近高速 现房,35000  元/平(均价),总价750万/套
招商都会湾,住宅,在售,昌平/东关/内环西路招商都会中心,品牌房企 自持商业 环线房 低密居所,43000  元/平(均价),总价380万/套
京贸国际城·峰景,住宅,在售,通州/武夷花园/芙蓉东路1号（通燕高速通州新城出口路南）,小户型 地铁沿线 公交直达 现房,72000  元/平(均价),总价492万/套
紫禁壹號院,别墅,在售,亦庄开发区/亦庄开发区其它/三海子二号路路口东150米（南海子公园北侧）,品牌房企 复式 公交直达 环线房,3700  万/套(总价),总价3800万/套
首开琅樾,别墅,在售,朝阳/中央别墅区/京密路与京平辅路交叉口西行1.5公里,品牌房企 环线房 现房 购物方便,2618  万/套(总价),总价1966万/套
